案主,上位人物,作為案主的章節,案主名稱,前見,前見名稱
程顥,周敦頤,13,明道,11,濂溪
程頤,胡瑗,15,伊川,1,安定
程頤,周敦頤,15,伊川,11,濂溪
晁說之,姜潛,22,景迂,2,泰山
呂希哲,程頤,23,滎陽,15,伊川
呂希哲,胡瑗,23,滎陽,1,安定
呂希哲,孫復,23,滎陽,2,泰山
謝良佐,程顥,24,上蔡,13,明道
謝良佐,程頤,24,上蔡,15,伊川
楊時,程顥,25,龜山,13,明道
楊時,程頤,25,龜山,15,伊川
游酢,程顥,26,廌山,13,明道
游酢,程頤,26,廌山,15,伊川
尹焞,程頤,27,和靖,15,伊川
郭忠孝,程頤,28,兼山,15,伊川
王蘋,程頤,29,震澤,15,伊川
王蘋,楊時,29,震澤,25,龜山
邵溥,晁詠之,30,劉李諸儒,22,景迂
侯仲良,程顥,30,劉李諸儒,13,明道
李籲,程顥,30,劉李諸儒,13,明道
劉立之,程顥,30,劉李諸儒,13,明道
劉絢,程顥,30,劉李諸儒,13,明道
邢恕,程顥,30,劉李諸儒,13,明道
朱光庭,程顥,30,劉李諸儒,13,明道
李籲,程頤,30,劉李諸儒,15,伊川
劉絢,程頤,30,劉李諸儒,15,伊川
朱光庭,胡瑗,30,劉李諸儒,1,安定
朱光庭,孫復,30,劉李諸儒,2,泰山
呂大鈞,程顥,31,呂范諸儒,13,明道
呂大臨,程顥,31,呂范諸儒,13,明道
呂大忠,程顥,31,呂范諸儒,13,明道
呂大鈞,程頤,31,呂范諸儒,15,伊川
呂大臨,程頤,31,呂范諸儒,15,伊川
呂大忠,程頤,31,呂范諸儒,15,伊川
范育,張載,31,呂范諸儒,17,橫渠
呂大鈞,張載,31,呂范諸儒,17,橫渠
呂大臨,張載,31,呂范諸儒,17,橫渠
呂大忠,張載,31,呂范諸儒,17,橫渠
許景衡,程頤,32,周許諸儒,15,伊川
周行己,程頤,32,周許諸儒,15,伊川
許景衡,呂大臨,32,周許諸儒,31,呂范諸儒
沈躬行,呂大臨,32,周許諸儒,31,呂范諸儒
謝天申,呂大臨,32,周許諸儒,31,呂范諸儒
周行己,呂大臨,32,周許諸儒,31,呂范諸儒
楊國寶,程頤,33,王張諸儒,15,伊川
胡安國,靳裁之,34,武夷,13,明道
胡安國,朱長文,34,武夷,2,泰山
陳瓘,豐稷,35,陳鄒諸儒,19,范呂諸儒
關治,楊時,35,陳鄒諸儒,25,龜山
呂本中,陳瓘,36,紫微,35,陳鄒諸儒
呂本中,劉安世,36,紫微,20,元城
呂本中,唐廣仁,36,紫微,35,陳鄒諸儒
呂本中,楊時,36,紫微,25,龜山
呂本中,尹焞,36,紫微,27,和靖
呂本中,游酢,36,紫微,26,廌山
朱震,謝良佐,37,漢上,24,上蔡
陳淵,程頤,38,默堂,15,伊川
陳淵,楊時,38,默堂,25,龜山
羅從彥,程頤,39,豫章,15,伊川
羅從彥,楊時,39,豫章,25,龜山
張九成,楊時,40,橫浦,25,龜山
胡寅,侯仲良,41,衡麓,30,劉李諸儒
胡寅,楊時,41,衡麓,25,龜山
胡宏,侯仲良,42,五峰,30,劉李諸儒
胡宏,楊時,42,五峰,25,龜山
劉勉之,潘畤,43,劉胡諸儒,20,元城
胡憲,譙定,43,劉胡諸儒,30,劉李諸儒
劉勉之,譙定,43,劉胡諸儒,30,劉李諸儒
劉勉之,楊時,43,劉胡諸儒,25,龜山
張浚,譙定,44,趙張諸儒,30,劉李諸儒
蕭楚,程頤,45,范許諸儒,15,伊川
范浚,楊時,45,范許諸儒,25,龜山
汪應辰,呂本中,46,玉山,36,紫微
汪應辰,喻樗,46,玉山,25,龜山
汪應辰,張九成,46,玉山,40,橫浦
林光朝,陳鵬飛,47,艾軒,44,趙張諸儒
林光朝,陸景端,47,艾軒,27,和靖
林光朝,王蘋,47,艾軒,29,震澤
朱熹,胡憲,48,晦翁,43,劉胡諸儒
朱熹,李侗,48,晦翁,39,豫章
朱熹,劉勉之,48,晦翁,43,劉胡諸儒
朱熹,劉子翬,48,晦翁,43,劉胡諸儒
張栻,胡宏,50,南軒,42,五峰
張栻,劉芮,50,南軒,20,元城
張栻,王大寶,50,南軒,44,趙張諸儒
呂祖謙,韓元吉,51,東萊,27,和靖
呂祖謙,林之奇,51,東萊,36,紫微
呂祖謙,劉勉之,51,東萊,43,劉胡諸儒
呂祖謙,芮煜,51,東萊,44,趙張諸儒
呂祖謙,汪應辰,51,東萊,46,玉山
薛季宣,袁溉,52,艮齋,30,劉李諸儒
陳傅良,芮煜,53,止齋,44,趙張諸儒
陳傅良,薛季宣,53,止齋,52,艮齋
陳傅良,張孝愷,53,止齋,32,周許諸儒
陳傅良,鄭伯熊,53,止齋,32,周許諸儒
葉適,鄭伯熊,54,水心,32,周許諸儒
陳亮,芮煜,56,龍川,44,趙張諸儒
陳亮,鄭伯熊,56,龍川,32,周許諸儒
陸九淵,王蘋,58,象山,29,震澤
黃榦,劉清之,63,勉齋,59,清江
黃榦,朱熹,63,勉齋,48,晦翁
輔廣,呂祖謙,64,潛庵,51,東萊
輔廣,朱熹,64,潛庵,48,晦翁
陳埴,葉適,65,木鐘,54,水心
陳埴,朱熹,65,木鐘,48,晦翁
杜煜,石□,66,南湖,48,晦翁
杜煜,朱熹,66,南湖,48,晦翁
蔡沈,朱熹,67,九峰,48,晦翁
陳淳,林宗臣,68,北溪,41,衡麓
陳淳,朱熹,68,北溪,48,晦翁
曹建,程迥,69,滄洲諸儒,25,龜山
蔡念成,黃榦,69,滄洲諸儒,63,勉齋
宋斌,黃榦,69,滄洲諸儒,63,勉齋
程端蒙,江介,69,滄洲諸儒,25,龜山
李雄,康淵,69,滄洲諸儒,24,上蔡
曾祖道,劉清之,69,滄洲諸儒,59,清江
詹體仁,劉子翬,69,滄洲諸儒,43,劉胡諸儒
曹建,陸九齡,69,滄洲諸儒,57,梭山復齋
萬人傑,陸九齡,69,滄洲諸儒,57,梭山復齋
曹建,陸九淵,69,滄洲諸儒,58,象山
曾祖道,陸九淵,69,滄洲諸儒,58,象山
符敘,陸九淵,69,滄洲諸儒,58,象山
李耆壽,陸九淵,69,滄洲諸儒,58,象山
劉定夫,陸九淵,69,滄洲諸儒,58,象山
劉孟容,陸九淵,69,滄洲諸儒,58,象山
萬人傑,陸九淵,69,滄洲諸儒,58,象山
陳孔碩,呂祖謙,69,滄洲諸儒,51,東萊
劉炳,呂祖謙,69,滄洲諸儒,51,東萊
劉爚,呂祖謙,69,滄洲諸儒,51,東萊
王遇,呂祖謙,69,滄洲諸儒,51,東萊
吳必大,呂祖謙,69,滄洲諸儒,51,東萊
趙汝談,葉適,69,滄洲諸儒,54,水心
陳孔碩,張栻,69,滄洲諸儒,50,南軒
呂勝己,張栻,69,滄洲諸儒,50,南軒
王遇,張栻,69,滄洲諸儒,50,南軒
吳必大,張栻,69,滄洲諸儒,50,南軒
襲蓋卿,張栻,69,滄洲諸儒,50,南軒
李燔,朱熹,69,滄洲諸儒,48,晦翁
廖德明,朱熹,69,滄洲諸儒,48,晦翁
張洽,朱熹,69,滄洲諸儒,48,晦翁
劉強學,彪居正,71,嶽麓諸儒,42,五峰
胡大時,陳傅良,71,嶽麓諸儒,53,止齋
沈有開,陳傅良,71,嶽麓諸儒,53,止齋
胡大時,戴溪,71,嶽麓諸儒,53,止齋
周奭,戴溪,71,嶽麓諸儒,53,止齋
胡大時,陸九淵,71,嶽麓諸儒,58,象山
蔣元夫,陸九淵,71,嶽麓諸儒,58,象山
沈有開,呂祖謙,71,嶽麓諸儒,51,東萊
沈有開,薛季宣,71,嶽麓諸儒,52,艮齋
胡大時,張栻,71,嶽麓諸儒,50,南軒
彭龜年,張栻,71,嶽麓諸儒,50,南軒
吳獵,張栻,71,嶽麓諸儒,50,南軒
游九功,張栻,71,嶽麓諸儒,50,南軒
游九言,張栻,71,嶽麓諸儒,50,南軒
胡大時,朱熹,71,嶽麓諸儒,48,晦翁
彭龜年,朱熹,71,嶽麓諸儒,48,晦翁
張巽,朱熹,71,嶽麓諸儒,48,晦翁
趙善佐,朱熹,71,嶽麓諸儒,48,晦翁
李修己,陸九齡,72,二江諸儒,57,梭山復齋
范仲黼,張栻,72,二江諸儒,50,南軒
范子長,張栻,72,二江諸儒,50,南軒
范子該,張栻,72,二江諸儒,50,南軒
李修己,張栻,72,二江諸儒,50,南軒
宋德之,張栻,72,二江諸儒,50,南軒
